source_city,destination_city,fare_usd,distance_km,driver_gender,ride_type,customer_name
Houston,Phoenix,117.79,30.22,Male,shared,Denise Jones
Miami,Atlanta,43.18,6.92,Female,shared,Devon Flores
Miami,Denver,6.76,9.51,Male,shared,Brenda Hall
Denver,Los Angeles,43.93,41.87,Male,individual,Michelle Brown
Houston,Miami,48.7,19.68,Female,shared,Joshua Perry
Atlanta,Chicago,32.0,41.38,Female,shared,Jason Stein
Phoenix,Chicago,54.91,6.81,Male,individual,Melissa Gates
San Francisco,Los Angeles,108.89,3.71,Male,individual,Jamie Smith
Seattle,Phoenix,54.53,15.41,Female,shared,Paul Castaneda
San Francisco,Phoenix,14.08,52.38,Male,individual,Jennifer Adkins
Atlanta,San Francisco,31.7,38.64,Female,individual,Lindsey Walker
Houston,New York,108.37,28.45,Female,shared,Jeffrey Johnson
Chicago,Denver,113.7,59.27,Female,individual,Michael Powell
Phoenix,Los Angeles,57.54,18.83,Female,individual,John Anderson
Chicago,Boston,48.86,22.18,Female,individual,Alyssa Long
New York,Houston,50.52,1.48,Male,individual,Alyssa Day
Los Angeles,Boston,74.81,21.79,Male,individual,Joel Williams
Houston,Phoenix,83.3,9.07,Male,shared,Daniel Murphy
Los Angeles,Denver,8.84,22.53,Male,shared,Jamie Walton
Los Angeles,Seattle,90.96,11.36,Male,individual,Darlene Miller
Miami,Phoenix,110.05,50.0,Female,individual,Joshua Cooke
Los Angeles,Seattle,97.49,28.63,Male,shared,Matthew Harrington
Boston,Houston,88.28,58.82,Female,shared,Nicole Herring
Austin,New York,35.41,8.29,Female,individual,Alex Hernandez
Atlanta,Austin,99.58,56.48,Male,shared,Michael Elliott
Denver,New York,76.25,56.65,Female,shared,Michael Wang
Houston,Chicago,78.07,28.39,Female,individual,Lawrence Adkins
Chicago,San Francisco,10.21,3.2,Female,shared,Robert Oconnell
Chicago,Boston,107.03,9.0,Female,individual,Alexander Collins
Houston,Miami,53.2,44.79,Male,individual,Tina Sanders
Houston,Chicago,100.87,37.32,Female,shared,Angela Vaughn
Phoenix,Seattle,29.99,27.24,Male,individual,Ashley Barton
Chicago,Houston,47.24,54.2,Female,shared,Lindsay Martinez
Austin,Los Angeles,26.83,8.21,Female,shared,Dr. Hannah Patterson
Houston,Boston,78.8,36.23,Male,shared,Jonathan Peterson
Seattle,Boston,118.71,47.43,Male,shared,Samantha Garcia
Miami,Boston,72.43,48.97,Male,individual,Madison Poole
San Francisco,Atlanta,5.33,51.65,Male,shared,Jessica Gross
Miami,Los Angeles,96.83,7.49,Male,shared,Debra Morton
New York,Seattle,95.85,15.04,Female,shared,Karen Graham
San Francisco,Los Angeles,11.03,44.76,Male,shared,Debra Christian
Denver,Phoenix,94.47,31.28,Male,individual,Angelica Keith
Miami,Boston,113.72,3.56,Female,individual,John Bishop
Houston,New York,11.99,29.26,Female,individual,Allen Rosales
Houston,Chicago,61.38,54.67,Male,shared,Daniel Salinas
Seattle,Atlanta,22.06,8.45,Female,individual,Spencer Haynes
Atlanta,Miami,38.91,30.83,Female,shared,Adam Vaughan
Phoenix,Chicago,103.07,39.4,Male,individual,Nathan Freeman
Denver,Boston,52.59,49.82,Female,individual,Melissa Brewer
Phoenix,Chicago,40.94,19.44,Female,individual,Ricky Davis II
San Francisco,Houston,111.14,4.96,Male,shared,Elizabeth Perkins
Austin,Chicago,90.63,22.99,Male,shared,Joseph Coleman
Atlanta,Miami,69.59,40.53,Female,individual,Erin Warner
Houston,Austin,104.83,43.54,Female,individual,David Martinez
Seattle,Chicago,71.46,13.55,Female,shared,Bryan Herrera
Chicago,Seattle,102.22,22.69,Female,shared,Cathy Robinson
Austin,Miami,117.07,49.29,Male,individual,Dr. William Warren
New York,San Francisco,36.43,45.98,Female,individual,Brian Lee
New York,San Francisco,105.03,34.41,Female,shared,Christopher Smith
San Francisco,Houston,116.76,6.41,Male,individual,Denise Mccann
Austin,Denver,44.2,22.83,Female,shared,Melissa Martinez
New York,San Francisco,23.1,37.45,Male,individual,Katherine Salas
Denver,Houston,53.76,36.82,Female,individual,Julie Alexander
Boston,Miami,18.09,26.36,Female,individual,Anthony Everett
Miami,Houston,40.47,14.01,Male,shared,Rodney Morales
Boston,Los Angeles,113.71,46.27,Female,individual,Mark Brown
Seattle,Chicago,5.89,45.07,Male,shared,Justin Torres
Austin,Miami,85.92,30.52,Female,shared,Bailey Duran DDS
Austin,New York,55.17,28.13,Male,individual,Courtney Mills
Atlanta,Austin,70.94,42.86,Female,individual,Jeremy Dalton
Chicago,Austin,7.4,20.16,Female,individual,Elizabeth Oliver DDS
Chicago,Austin,102.12,15.36,Female,shared,Theresa Clark
Austin,Los Angeles,90.77,14.07,Male,shared,Matthew Moore
Miami,Houston,18.11,31.09,Female,individual,Benjamin Smith
Phoenix,Houston,98.73,14.94,Male,individual,Kirk Carter
Boston,San Francisco,74.28,45.85,Male,shared,Michael Warner
Houston,Denver,58.35,34.26,Female,individual,Michael Bradshaw
Houston,Seattle,22.36,5.03,Female,individual,Lori Guerrero
Los Angeles,Atlanta,11.46,30.93,Female,individual,Jessica Stephens
Denver,New York,11.54,50.07,Male,shared,Susan Serrano
Atlanta,Phoenix,63.31,28.3,Male,individual,Christopher Parker
Atlanta,Houston,26.65,36.7,Male,shared,Laura Roberts
Denver,Chicago,98.26,50.41,Male,shared,Michael Lyons
New York,Boston,86.38,59.47,Male,individual,Kathryn Snyder
Seattle,Los Angeles,49.55,46.69,Male,individual,Andrew Reynolds
Chicago,Seattle,15.87,41.02,Female,individual,David Davis
Phoenix,Houston,115.91,36.56,Male,individual,Sara Johnston
Chicago,Atlanta,81.32,55.09,Female,individual,Yvonne Chambers
San Francisco,Atlanta,86.52,6.0,Female,individual,Andrew Avila
San Francisco,Houston,85.83,56.88,Male,individual,Matthew Moon
Miami,Seattle,7.1,19.22,Male,individual,Kevin Walters
Denver,Boston,31.05,9.12,Male,individual,Brandon Bailey MD
Chicago,Miami,93.65,50.27,Male,individual,Shannon Rivera
Atlanta,San Francisco,73.68,10.1,Male,shared,Donna Landry
Phoenix,Denver,10.02,22.49,Male,individual,Krista Gibson
Atlanta,Los Angeles,91.52,47.24,Male,shared,Frank Cordova
Los Angeles,Denver,108.96,12.45,Female,individual,Jose Travis
Los Angeles,Austin,62.83,25.7,Male,shared,Kimberly Gutierrez
Atlanta,San Francisco,105.4,4.08,Female,individual,Isaiah Avila
Miami,Chicago,86.81,31.44,Male,individual,Olivia Harris
Chicago,San Francisco,36.37,54.41,Male,individual,Tanya Kim
Chicago,Boston,98.92,53.19,Male,individual,Barbara Dudley
New York,Austin,62.73,14.91,Male,individual,Cynthia Moore
Boston,New York,41.65,6.85,Female,shared,Kristen Davis
San Francisco,New York,37.99,49.96,Male,individual,Susan Murray MD
Denver,Atlanta,5.6,5.67,Female,shared,Kathleen Moran
San Francisco,Miami,113.13,36.92,Female,shared,Denise Davenport
Los Angeles,Boston,39.63,3.82,Female,individual,Mrs. Kristen Reyes
Chicago,Phoenix,101.22,30.49,Male,shared,Katie Suarez
Phoenix,San Francisco,38.5,1.09,Female,shared,Desiree Tyler
Atlanta,Austin,26.54,40.42,Female,shared,Timothy Romero
Miami,Phoenix,63.34,59.31,Male,individual,Diane Evans
Denver,New York,78.1,58.88,Female,shared,Yvonne Burns
Seattle,Chicago,44.65,44.24,Male,individual,Joshua Reed
San Francisco,New York,45.51,20.97,Male,individual,Kimberly Gibson
Phoenix,Denver,77.65,48.88,Male,individual,Colin Terry
New York,Los Angeles,28.18,47.68,Male,individual,Cynthia Rowe
Los Angeles,Miami,50.8,49.11,Female,individual,Patrick Thornton
New York,Houston,26.98,22.06,Male,individual,Jasmin Alvarado
Los Angeles,Chicago,96.92,26.78,Female,individual,Veronica Simpson
Austin,Seattle,116.98,30.28,Female,individual,Jonathan Lawrence
Miami,Los Angeles,97.13,43.9,Male,individual,Shelly Alexander
Atlanta,San Francisco,67.73,19.95,Male,individual,Joyce Bowen
Houston,Los Angeles,40.25,36.55,Female,shared,Matthew Moore
Phoenix,Denver,45.43,3.5,Female,individual,Wayne Morgan
Los Angeles,Houston,117.7,56.93,Male,individual,Marie Christian
Seattle,Miami,97.13,41.09,Male,shared,Shannon James
Atlanta,Houston,94.85,3.05,Male,shared,Nathan Malone
Houston,Seattle,46.65,57.02,Male,shared,Amanda Jones
Houston,Denver,114.11,22.95,Male,shared,Tammie Bright
Miami,Seattle,50.77,39.32,Male,shared,Jessica Garcia
New York,San Francisco,62.39,23.83,Male,individual,Shelia Wallace
Los Angeles,Denver,29.68,37.1,Female,shared,Stephanie Williams
Chicago,San Francisco,103.08,27.67,Female,shared,Elaine Brooks
Houston,Seattle,81.8,42.86,Female,individual,Joseph Knight
San Francisco,Houston,25.02,22.33,Male,shared,Carolyn Miller
Boston,San Francisco,32.22,30.15,Female,individual,Lisa Allen
Denver,Miami,19.92,53.17,Male,individual,Briana Murray
Austin,Denver,65.46,46.38,Male,shared,David Smith
Seattle,Houston,13.53,28.48,Female,shared,Stephanie Byrd
Miami,Houston,72.6,46.3,Male,individual,Jeremy Reed
Miami,New York,100.61,31.57,Female,shared,Margaret Coleman
San Francisco,Seattle,112.49,14.3,Female,shared,Ryan Gonzalez
Los Angeles,Boston,78.03,33.5,Male,individual,John Young
Atlanta,Miami,15.74,38.82,Male,shared,Laura Haney
Houston,Atlanta,87.87,36.7,Male,shared,William Barrett
Chicago,New York,114.08,46.49,Female,shared,Keith Jennings
Atlanta,Austin,76.08,2.79,Female,individual,Amber Obrien
Denver,Boston,97.54,41.41,Female,individual,Tanner Mitchell DDS
Chicago,New York,23.18,25.52,Female,shared,Heather Fields
Seattle,Atlanta,21.52,51.83,Female,individual,Megan Le
Austin,San Francisco,92.48,31.38,Male,individual,Sara Fuller
Boston,Denver,19.09,27.53,Male,shared,Maria Parker
New York,Los Angeles,113.72,51.99,Female,shared,Kevin Oconnor
San Francisco,Seattle,112.38,43.55,Male,shared,Edward Burgess
Denver,Miami,58.68,52.87,Female,shared,Carlos Ryan
Chicago,Austin,63.13,58.03,Male,individual,Kiara Mcintyre
New York,Phoenix,37.36,36.25,Female,individual,Dawn Summers
Miami,New York,102.42,26.42,Female,individual,Dr. Paul Morgan
Austin,Seattle,10.2,4.02,Male,individual,Victor Taylor
Miami,Los Angeles,13.46,30.75,Female,shared,Shannon Ramsey
San Francisco,Chicago,50.3,47.9,Female,individual,Tracy Ballard
San Francisco,Boston,74.28,24.68,Male,shared,Richard Smith
New York,San Francisco,87.06,48.43,Female,shared,Jordan Chambers
Atlanta,Miami,21.07,55.95,Female,shared,Lauren Carson
Austin,Atlanta,90.02,18.65,Female,individual,Ashley Hall
Phoenix,Atlanta,39.48,49.13,Female,individual,Stephen Hoffman
Houston,Chicago,117.69,35.44,Male,individual,Connie Brown
Los Angeles,Houston,95.03,46.79,Male,shared,Susan Turner
Atlanta,Denver,24.61,38.11,Female,shared,Charles Shah
Houston,Boston,8.63,56.94,Male,shared,Johnathan Davis
New York,Denver,41.07,9.93,Male,individual,Brandy Chavez
Miami,Atlanta,110.86,52.5,Male,shared,Natalie Bautista
Miami,Boston,69.5,59.89,Female,individual,Patrick Moore
Seattle,San Francisco,57.86,32.45,Female,individual,Brett Burns
Atlanta,Denver,27.11,15.54,Female,shared,Trevor Johnson
Los Angeles,Phoenix,86.06,41.72,Female,individual,Jeremy Sampson
Denver,Seattle,69.46,56.13,Female,individual,Ariana Jennings
Chicago,Atlanta,82.81,23.4,Female,individual,Vanessa Howard
San Francisco,Los Angeles,9.84,57.36,Male,individual,Colton Martinez
Denver,Houston,34.49,29.27,Male,individual,Jordan Bates
Miami,Los Angeles,20.79,37.32,Male,shared,Linda Smith
New York,Houston,109.1,14.31,Male,shared,Dana Martinez
Chicago,Austin,42.98,28.87,Male,shared,Andrea Hubbard
Miami,San Francisco,51.79,56.17,Female,individual,Daniel Kane
Houston,Boston,91.93,17.95,Female,shared,Charles Lester
Chicago,Houston,71.03,32.57,Male,shared,Scott Thomas
Austin,San Francisco,112.4,3.14,Female,individual,David Thompson
San Francisco,Los Angeles,105.83,1.55,Male,individual,Allison Smith
Los Angeles,Denver,118.75,33.05,Female,shared,Cynthia Morris
Miami,Denver,36.38,48.72,Female,shared,Anthony Harmon
Phoenix,Denver,79.55,43.4,Male,individual,Nichole Alvarez
Los Angeles,Atlanta,82.56,12.4,Female,individual,Kayla Rodriguez
Miami,Seattle,14.97,40.49,Male,shared,Theresa Williams
Denver,Seattle,112.62,1.4,Female,shared,Sharon Boyd
Denver,Los Angeles,114.71,18.81,Male,individual,Victor Brown
Houston,Seattle,84.67,4.67,Male,individual,James Parks
Los Angeles,San Francisco,51.62,30.65,Female,shared,Theodore Jones Jr.
Houston,Los Angeles,47.27,14.03,Male,individual,Ana Hill
San Francisco,Denver,90.99,36.74,Female,individual,Kimberly Nguyen
Miami,Houston,99.94,45.95,Male,individual,Kerry Chavez DDS
Miami,Seattle,13.98,34.29,Male,shared,Michael Farrell
Atlanta,Miami,22.23,20.36,Female,shared,Patricia Le
Houston,Boston,87.45,29.84,Female,shared,Jesse Perez
Denver,San Francisco,64.02,27.95,Male,individual,Jesse Perry
Houston,Los Angeles,88.18,24.36,Male,shared,Jeffery Ortega
Atlanta,Chicago,10.21,21.33,Male,shared,Christian Leblanc
Chicago,Denver,8.65,25.12,Male,individual,Ronald Davis
Seattle,Austin,56.58,55.11,Female,individual,Parker Cain
Chicago,Houston,115.88,52.6,Male,individual,Laurie Hoffman
Chicago,San Francisco,119.18,24.19,Male,shared,Bryan Gomez
New York,Phoenix,117.53,28.32,Female,individual,Nicole Parrish
Boston,Phoenix,57.97,10.15,Male,shared,Tracy Burke
New York,Houston,53.21,46.2,Male,shared,Kenneth Lewis
Boston,Chicago,16.6,2.98,Male,shared,Courtney Rodriguez
Phoenix,New York,51.26,14.83,Male,shared,Holly Farmer
San Francisco,Miami,119.25,14.82,Female,individual,Renee Bruce
Boston,Los Angeles,105.77,59.16,Male,individual,Sabrina Austin
Los Angeles,Phoenix,12.01,56.96,Male,individual,Allison Hickman
Miami,Denver,10.39,21.32,Female,individual,Debra White
Phoenix,Austin,51.95,18.69,Male,individual,Ellen Morgan
Boston,Phoenix,39.58,42.75,Female,shared,Sergio Knight
Miami,Austin,116.3,33.88,Male,individual,Charles Schultz
Boston,Los Angeles,28.38,39.16,Female,individual,Paul Lewis
Chicago,Miami,88.33,12.24,Female,individual,Glen Wood
Houston,Atlanta,74.34,52.54,Male,shared,Paula Bradley
Denver,Boston,104.99,20.64,Male,shared,Anthony Moore
Boston,Chicago,90.89,45.51,Male,shared,Megan Nelson
Austin,Boston,68.49,46.76,Female,individual,Karla Ramos
Miami,Houston,46.31,16.43,Female,individual,Paul Wilson
Chicago,Denver,92.59,19.89,Male,individual,Douglas Gregory
Seattle,Austin,10.26,51.98,Male,shared,Mr. Andrew Foster
Los Angeles,Miami,112.5,35.17,Female,individual,Aimee Turner
San Francisco,Boston,42.93,23.41,Male,individual,Chad Scott
Miami,Houston,113.5,20.92,Female,individual,Adam Burgess
Denver,San Francisco,89.27,21.78,Male,individual,James Padilla
San Francisco,Miami,118.89,57.48,Male,shared,Sandra Drake
Houston,New York,92.9,25.33,Male,shared,Scott Williams
Phoenix,San Francisco,6.05,30.84,Female,shared,Thomas Atkins
Atlanta,Houston,81.68,37.37,Female,individual,Laura Mckinney
New York,Phoenix,66.2,25.27,Male,individual,Brian Smith
Miami,Los Angeles,6.97,48.98,Female,shared,Robert Montgomery
Chicago,Phoenix,65.3,15.22,Female,individual,Tamara Davis
Los Angeles,Austin,14.09,57.6,Female,shared,Dana Chapman
Phoenix,Boston,39.5,49.86,Male,shared,Jennifer Collins
Chicago,Austin,48.62,33.61,Male,shared,Gary Jackson
Phoenix,San Francisco,14.51,50.87,Female,shared,Ashley Hicks
Miami,New York,31.42,54.18,Female,individual,Hannah Luna
New York,Chicago,83.71,17.54,Male,shared,Robin Young
Seattle,New York,115.57,35.64,Female,shared,Craig Morrison
Los Angeles,San Francisco,69.86,34.44,Female,individual,Mary Thompson
Austin,San Francisco,95.91,41.67,Male,individual,Kathleen Webster
New York,Chicago,55.27,50.48,Female,individual,Joann Glass
Seattle,New York,77.92,47.23,Female,individual,Madison Weber
Boston,Seattle,68.6,23.15,Male,individual,Lori Hernandez
Chicago,Atlanta,38.97,15.54,Male,shared,Jeremy Turner
Los Angeles,San Francisco,48.7,47.25,Male,individual,Anthony Romero
Seattle,Phoenix,17.25,1.31,Female,individual,Jesse Brown
Seattle,Los Angeles,16.76,6.15,Female,individual,Angela Lin
Miami,Phoenix,63.93,7.09,Male,individual,Lisa Hunter
Miami,Chicago,73.65,47.28,Female,shared,Julian Conner
Los Angeles,Austin,49.6,6.0,Male,shared,Joanna Pacheco
Houston,Austin,24.49,16.87,Female,individual,Erica Alvarez
San Francisco,Chicago,24.23,17.28,Female,individual,Antonio Garcia
Chicago,Seattle,33.95,15.55,Female,shared,Gwendolyn Klein
Denver,Chicago,20.58,1.4,Female,individual,Carrie Wright
Atlanta,Austin,97.47,20.44,Female,individual,Jeffrey Mills
Houston,Atlanta,20.65,19.92,Male,individual,Jake Campbell
Seattle,San Francisco,115.93,58.15,Female,individual,George Harper
Atlanta,Boston,42.48,17.54,Female,individual,Maria Jones
Chicago,Atlanta,27.98,59.84,Male,shared,Michael Mitchell
Phoenix,Denver,113.44,13.37,Female,shared,Mary Escobar
Austin,Houston,62.42,38.37,Male,individual,Felicia Aguilar
Houston,San Francisco,87.25,47.56,Male,individual,Gregory Ponce
Atlanta,Denver,71.96,32.53,Female,shared,Jenna Larson
Seattle,Miami,73.29,54.95,Male,shared,Emily Bennett
Houston,Phoenix,45.83,39.17,Male,individual,Robin Santiago
Seattle,Austin,17.18,6.82,Male,shared,Nancy Jennings
Denver,Seattle,49.98,46.57,Male,individual,Maria Henderson
New York,Denver,17.02,25.54,Male,shared,Jack White
Phoenix,San Francisco,45.06,21.24,Male,individual,Travis Tucker
Seattle,Denver,16.23,43.6,Female,individual,Chad Jones
Chicago,Los Angeles,10.14,42.94,Male,individual,Ashley Wise
